57,22,2014-06-12,FIN,SAS,@,MIA,4,W (+21),1,38:41,7,12,.583,1,3,.333,5,6,.833,5,9,14,3,3,3,1,3,20,25.2,+23
58,23,2014-06-15,FIN,SAS,,MIA,5,W (+17),1,33:59,7,10,.700,3,4,.750,5,6,.833,2,8,10,2,1,1,3,6,22,18.9,+15
59,1,2015-04-19,WC1,SAS,@,LAC,1,L (-15),1,33:02,7,12,.583,1,2,.500,3,6,.500,2,4,6,3,4,0,4,3,18,14.7,-21
60,2,2015-04-22,WC1,SAS,@,LAC,2,W (+4),1,39:02,9,16,.563,2,3,.667,3,4,.750,2,7,9,3,1,1,3,2,23,18.5,+4
61,3,2015-04-24,WC1,SAS,,LAC,3,W (+27),1,28:30,13,18,.722,3,5,.600,3,3,1.000,2,2,4,1,3,2,1,1,32,30.3,+20
62,4,2015-04-26,WC1,SAS,,LAC,4,L (-9),1,39:56,10,19,.526,3,6,.500,3,4,.750,2,5,7,5,0,1,0,1,26,23.0,-3
63,5,2015-04-28,WC1,SAS,@,LAC,5,W (+4),1,36:15,5,16,.313,0,3,.000,8,10,.800,2,7,9,3,0,0,2,5,18,9.6,-10
64,6,2015-04-30,WC1,SAS,,LAC,6,L (-6),1,40:19,3,15,.200,1,3,.333,5,6,.833,1,6,7,2,0,0,4,2,12,1.4,-19
65,7,2015-05-02,WC1,SAS,@,LAC,7,L (-2),1,33:19,5,13,.385,1,4,.250,2,2,1.000,2,8,10,1,0,0,1,4,13,7.8,-6
66,1,2016-04-17,WC1,SAS,,MEM,1,W (+32),1,28:37,8,13,.615,3,6,.500,1,1,1.000,1,1,2,0,4,3,1,0,20,20.2,+18
67,2,2016-04-19,WC1,SAS,,MEM,2,W (+26),1,26:37,4,10,.400,0,0,,5,5,1.000,0,3,3,0,2,1,1,3,13,9.0,+12
68,3,2016-04-22,WC1,SAS,@,MEM,3,W (+9),1,42:23,11,22,.500,6,9,.667,4,5,.800,1,6,7,2,4,5,0,0,32,32.0,+4
69,4,2016-04-24,WC1,SAS,@,MEM,4,W (+21),1,27:56,6,10,.600,2,3,.667,7,7,1.000,3,4,7,4,1,2,2,1,21,22.5,+20
70,5,2016-04-30,WCS,SAS,,OKC,1,W (+32),1,21:34,10,13,.769,1,2,.500,4,4,1.000,0,5,5,5,0,0,1,3,25,22.7,+20
71,6,2016-05-02,WCS,SAS,,OKC,2,L (-1),1,35:34,7,18,.389,0,3,.000,0,2,.000,1,6,7,3,2,2,2,3,14,8.2,+11
72,7,2016-05-06,WCS,SAS,@,OKC,3,W (+4),1,39:22,9,17,.529,3,4,.750,10,14,.714,2,9,11,3,1,1,3,3,31,24.8,+5
73,8,2016-05-08,WCS,SAS,@,OKC,4,L (-14),1,40:18,7,19,.368,0,4,.000,7,7,1.000,2,4,6,2,4,0,4,2,21,13.7,-19
74,9,2016-05-10,WCS,SAS,,OKC,5,L (-4),1,39:18,12,21,.571,1,4,.250,1,2,.500,1,5,6,4,5,0,1,3,26,23.5,+8
75,10,2016-05-12,WCS,SAS,@,OKC,6,L (-14),1,36:57,9,23,.391,1,4,.250,3,4,.750,3,6,9,5,3,0,1,3,22,17.3,-13
76,1,2017-04-15,WC1,SAS,,MEM,1,W (+29),1,32:05,11,14,.786,1,3,.333,9,9,1.000,1,2,3,5,2,0,2,1,32,31.0,+17
77,2,2017-04-17,WC1,SAS,,MEM,2,W (+14),1,40:22,9,14,.643,0,2,.000,19,19,1.000,1,10,11,2,0,0,4,2,37,31.1,+8
78,3,2017-04-20,WC1,SAS,@,MEM,3,L (-11),1,30:12,6,11,.545,2,4,.500,4,4,1.000,0,4,4,3,0,1,1,2,18,14.9,-7
79,4,2017-04-22,WC1,SAS,@,MEM,4,L (-2),1,44:10,14,30,.467,7,10,.700,8,8,1.000,1,7,8,3,6,0,4,4,43,32.9,+18
80,5,2017-04-25,WC1,SAS,,MEM,5,W (+13),1,39:18,9,16,.563,3,5,.600,7,8,.875,0,1,1,6,1,0,2,1,28,23.1,+19
81,6,2017-04-27,WC1,SAS,@,MEM,6,W (+7),1,39:55,8,19,.421,1,5,.200,12,13,.923,3,6,9,4,3,0,1,2,29,26.4,+15
82,7,2017-05-01,WCS,SAS,,HOU,1,L (-27),1,32:11,5,14,.357,3,7,.429,8,8,1.000,0,11,11,6,0,1,1,0,21,20.4,-16
83,8,2017-05-03,WCS,SAS,,HOU,2,W (+25),1,37:43,13,16,.813,3,4,.750,5,5,1.000,1,6,7,8,3,1,2,0,34,37.8,+24
84,9,2017-05-05,WCS,SAS,@,HOU,3,W (+11),1,41:07,9,20,.450,2,3,.667,6,8,.750,3,7,10,7,1,0,3,4,26,20.3,+10
85,10,2017-05-07,WCS,SAS,@,HOU,4,L (-21),1,29:46,7,14,.500,1,4,.250,1,3,.333,2,4,6,4,1,1,3,2,16,11.5,-15
86,11,2017-05-09,WCS,SAS,,HOU,5,W (+3),1,38:20,8,21,.381,1,4,.250,5,6,.833,3,12,15,4,2,2,2,1,22,19.6,-2
87,,2017-05-11,WCS,SAS,@,HOU,6,W (+39),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
88,12,2017-05-14,WCF,SAS,@,GSW,1,L (-2),1,23:54,7,13,.538,1,4,.250,11,11,1.000,4,4,8,3,1,0,1,2,26,25.0,+21
89,,2017-05-16,WCF,SAS,@,GSW,2,L (-36),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
90,,2017-05-20,WCF,SAS,,GSW,3,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
91,,2017-05-22,WCF,SAS,,GSW,4,L (-14),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
92,,2018-04-14,WC1,SAS,@,GSW,1,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
93,,2018-04-16,WC1,SAS,@,GSW,2,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
94,,2018-04-19,WC1,SAS,,GSW,3,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
